code,name,zone,division_name,lat,long,station_km,elevation_m,is_junction,has_crew_lobby,is_banking_station
CTCS,CONCOR TERMINALS AT SHALIMAR (KGP DIV),SER,KGP,22.55560804,88.31893358,,,FALSE,FALSE,FALSE
GHDA,GHOLBAGDA,SER,KGP,21.91743517,87.76824438,,,FALSE,FALSE,FALSE
GPSD,GRAVEL PUBLIC SIDING,SER,KGP,22.50572431,86.55300076,,,FALSE,FALSE,FALSE
GVDP,GOVINDPUR PH,SER,KGP,22.74333737,86.26066763,,,FALSE,FALSE,FALSE
HDCB,HALDIA DOCK COMP. BULK.,SER,KGP,22.03817617,88.08129675,,,FALSE,FALSE,FALSE
HDCG,HALDIA DOCK COMP. GENL.,SER,KGP,22.05497355,88.0957861,,,FALSE,FALSE,FALSE
HEBS,M/s. HALDIA ENERGY LTD.,SER,KGP,22.1003237,88.17683852,,,FALSE,FALSE,FALSE
HWHS,HOWRAH ( SOUTH NEW COMPLEX),SER,KGP,22.58080138,88.34276986,,,FALSE,FALSE,FALSE
ICCG,"INDIAN COPPER COMPLEX, GHATSILA",SER,KGP,22.59790616,86.45611627,,,FALSE,FALSE,FALSE
JRH,Jugpura,SER,KGP,21.66912937,86.91290073,,,FALSE,FALSE,FALSE
KAF,KHARIDA GOODS SHED,SER,KGP,22.34232268,87.32685204,,,FALSE,FALSE,FALSE
KCBN,K - CABIN,SER,KGP,22.33633708,87.29828629,,,FALSE,FALSE,FALSE
KGPW,KHARAGPUR WORKSHOP,SER,KGP,22.33578302,87.30103333,,,FALSE,FALSE,FALSE
KIG,Kolaghat,SER,KGP,22.43546626,87.88111182,,,FALSE,FALSE,FALSE
KPPS,Kolaghat Thermal Power Station,SER,KGP,22.41575606,87.87567903,,,FALSE,FALSE,FALSE
MBEB,PVT. SIDING OF M/S. BENGAL ENERGY PVT. LTD.,SER,KGP,22.25006444,87.38718547,,,FALSE,FALSE,FALSE
MJH,Maju (P.H.),SER,KGP,22.61623482,88.07874753,,,FALSE,FALSE,FALSE
MOMG,GATI SHAKTI MULTI-MODAL CARGO TERMINAL OF M/S. ORISSA METALIKS PVT. LT,SER,KGP,22.37539436,87.29406133,,,FALSE,FALSE,FALSE
MOMN,PVT. SDG. OF M/S. ORISSA METALIKS PVT. LTD. (AT NIMPURA-GOKULPUR),SER,KGP,22.37539436,87.29406133,,,FALSE,FALSE,FALSE
MSTR,M/S. SRIDHI TRANSPORT CO. PVT. LTD.,SER,KGP,21.14322806,86.5522735,,,FALSE,FALSE,FALSE
NDSB,Nilgiri Departmental Siding,SER,KGP,21.42649405,86.85546393,,,FALSE,FALSE,FALSE
NGRM,RAM SARUP LOHH UDYOG LTD,SER,KGP,22.35470862,87.27791423,,,FALSE,FALSE,FALSE
NKKH,Nimpura Goods Shed Complex,SER,KGP,22.32916427,87.24385238,,,FALSE,FALSE,FALSE
NMMS,"NIMPURA MILITARY SIDING, NIMPURA",SER,KGP,22.33281855,87.26329624,,,FALSE,FALSE,FALSE
NMP,Nimpura,SER,KGP,22.32547357,87.26565038,,,FALSE,FALSE,FALSE
NMPY,Nimpura Marshalling Yard,SER,KGP,22.32557353,87.26772482,,,FALSE,FALSE,FALSE
NPDY,NIMPURA DEPARTURE YARD,SER,KGP,22.33630731,87.29828629,,,FALSE,FALSE,FALSE
NPRY,NIMPURA RECEIPTION YARD,SER,KGP,22.33360932,87.26630627,,,FALSE,FALSE,FALSE
OKB,OLD KOILAGHAT BUILDING,SER,KGP,22.57261145,88.34650649,,,FALSE,FALSE,FALSE
PDCH,Public Siding at Haldia DEMU Coach Factory,SER,KGP,22.04509112,88.05973976,,,FALSE,FALSE,FALSE
PMHD,POL SIDING OF M/S. HPCL,SER,KGP,22.03817617,88.08129675,,,FALSE,FALSE,FALSE
PMJF,PRIVATE SIDING FOR M/S. JUTE AND CABLE MILL,SER,KGP,22.50283825,88.16305055,,,FALSE,FALSE,FALSE
PMRN,M/S RASHMI METALIKS LTD AT GOKULPUR,SER,KGP,22.379826,87.29213058,,,FALSE,FALSE,FALSE
PNKA,M/S. NARESH KUMAR & CO. PVT. LTD.(served by AMTA station),SER,KGP,22.57477318,88.01943318,,,FALSE,FALSE,FALSE
PNOB,M/S NOCCi BALASORE INFRASTRUCTURE COMPANY LTD,SER,KGP,21.49584831,86.88353484,,,FALSE,FALSE,FALSE
PSOR,PUBLIC SIDING OF RAILWAY,SER,KGP,22.45452918,86.99840978,,,FALSE,FALSE,FALSE
RCLM,M/S. RAMCO CEMENTS LTD.,SER,KGP,22.42224403,87.86252616,,,FALSE,FALSE,FALSE
SDDK,STORE DEPOT SIDING FOR DIESEL LOCO SHED (DEPARTMENTAL),SER,KGP,22.33591273,87.30909128,,,FALSE,FALSE,FALSE
SGTY,SANKRAIL GOODS TERMINAL YARD,SER,KGP,22.55441575,88.19950913,,,FALSE,FALSE,FALSE
SLPR,Shilpaprabesh,SER,KGP,22.05905041,88.10616601,,,FALSE,FALSE,FALSE
SREW,"HINDUSTAN DEVELOPMENT CORPN, SANTRAGACHI",SER,KGP,22.58056129,88.27951075,,,FALSE,FALSE,FALSE
TCLD,Tata Chemicals Ltd,SER,KGP,22.06607002,88.15004371,,,FALSE,FALSE,FALSE
TMGP,TATA METALIKS LTD,SER,KGP,22.38519478,87.28371167,,,FALSE,FALSE,FALSE
